,rank,menu,cafe,title,price,address,tel,domain,link
0,1.0,BLT,Old Oak Tap,Old Oak Tap BLT,10.0,2109 W. Chicago Ave.,773-772-0406,theoldoaktap.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/
1,2.0,Fried Bologna,Au Cheval,Au Cheval Fried Bologna,9.0,800 W. Randolph St.,312-929-4580,aucheval.tumblr.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/
2,3.0,Woodland Mushroom,Xoco,Xoco Woodland Mushroom,950.0,445 N. Clark St.,312-334-3688,rickbayless.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/
3,4.0,Roast Beef,Al’s Deli,Al’s Deli Roast Beef,940.0,914 Noyes St.,Evanston,847-475-9400,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/
4,5.0,PB&L,Publican Quality Meats,Publican Quality Meats PB&L,10.0,825 W. Fulton Mkt.,312-445-8977,publicanqualitymeats.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/
5,6.0,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,Hendrickx Belgian Bread Crafter Belgian Chicken Curry Salad,725.0,100 E. Walton St.,312-649-6717,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/
6,7.0,Lobster Roll,Acadia,Acadia Lobster Roll,16.0,1639 S. Wabash Ave.,312-360-9500,acadiachicago.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/
7,8.0,Smoked Salmon Salad,Birchwood Kitchen,Birchwood Kitchen Smoked Salmon Salad,10.0,2211 W. North Ave.,773-276-2100,birchwoodkitchen.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/
8,9.0,Atomica Cemitas,Cemitas Puebla,Cemitas Puebla Atomica Cemitas,9.0,3619 W. North Ave.,773-772-8435,cemitaspuebla.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/
9,10.0,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,Nana Grilled Laughing Bird Shrimp and Fried Po’ Boy,,,,,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/
10,11.0,Ham and Raclette Panino,Lula Cafe,Lula Cafe Ham and Raclette Panino,11.0,2537 N. Kedzie Blvd.,773-489-9554,lulacafe.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/
11,12.0,Breaded Steak,Ricobene’s,Ricobene’s Breaded Steak,549.0,Multiple locations,ricobenespizza.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/
