,code,종목,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
1,005930,삼성전자,64500,100,-0.15,10686882,689953,3850510
2,000660,SK하이닉스,97300,900,-0.92,1748628,170589,708346
3,207940,삼성바이오로직스,797000,11000,-1.36,95857,76329,527335
4,051910,LG화학,720000,1000,-0.14,197392,143187,508265
5,035420,NAVER,279000,1500,-0.53,301773,84702,458295
6,068270,셀트리온,296500,2500,0.85,385815,113979,400268
7,005380,현대차,177500,2500,-1.39,805241,143276,379261
8,006400,삼성SDI,512000,6000,-1.16,239165,122920,352074
9,035720,카카오,366000,500,0.14,195675,71556,323103
10,051900,LG생활건강,1564000,32000,2.09,19875,30939,244269
11,000270,기아차,57700,1100,-1.87,1248717,72339,233895
12,012330,현대모비스,239000,4000,-1.65,197177,47266,227181
13,028260,삼성물산,121000,1500,-1.22,233525,28397,226133
14,005490,POSCO,236000,0,0.0,129832,30582,205761
15,105560,KB금융,45650,850,-1.83,1147124,52690,189816
16,017670,SK텔레콤,228000,1500,-0.65,103720,23703,184100
17,036570,엔씨소프트,825000,3000,-0.36,52149,43020,181121
18,055550,신한지주,33200,50,-0.15,1107205,36839,171487
19,034730,SK,212500,2000,-0.93,101446,21588,149516
20,032830,삼성생명,72900,2100,-2.8,792118,58603,145800
21,066570,LG전자,88600,500,-0.56,459520,40782,144992
22,096770,SK이노베이션,154000,0,0.0,253882,39257,142397
23,018260,삼성에스디에스,178000,1000,-0.56,75103,13405,137732
24,015760,한국전력,21200,150,0.71,1652157,35122,136096
25,326030,SK바이오팜,170000,0,0.0,111562,18943,133133
26,003550,LG,75300,100,-0.13,136149,10261,129936
27,033780,KT&G,86100,800,0.94,293002,25109,118209
28,090430,아모레퍼시픽,195000,7000,3.72,660416,128804,113994
29,251270,넷마블,129500,0,0.0,164749,21389,111168
30,009150,삼성전기,148500,2000,-1.33,243235,36264,110920
31,086790,하나금융지주,35450,250,-0.7,873875,31071,106436
32,011170,롯데케미칼,286000,4500,1.6,185317,53447,98028
33,000810,삼성화재,204000,2000,-0.97,119859,24674,96645
