구별,구면적,공원수,구공원면적,1인당공원면적,도시공원면적,1인당도시공원면적,생활권공원면적,1인당생활권공원면적,세대,인구,남자,여자,공원명,공원면적,공원주소,X좌표,Y좌표
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,광화문시민열린마당,8948.0,서울특별시 종로구 세종로 76-2,126.9780227,37.575044899999995
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,낙산근린공원,201779.0,서울특별시 종로구 낙산길 41 (우) 03085,127.00758700000002,37.580477
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,경희궁,98470.0,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570772999999996
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,탑골근린공원,19599.0,서울특별시 종로구 종로 99,126.98828529999999,37.5710052
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,마로니에공원,5802.0,서울특별시 종로구 대학로8길 1,127.00278859999999,37.5802295
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,와룡근린공원,207790.0,서울특별시 종로구 와룡공원길 192 (우) 03063,126.9901672,37.59079439999999
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,북악산도시자연공원,954553.0,서울특별시 종로구 부암동 산2-6,126.97372949999999,37.5929992
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,사직근린공원,168099.0,서울특별시 종로구 사직로9길 5,126.96740179999999,37.5759864
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,삼청근린공원,380735.0,서울특별시 종로구 북촌로 134-1 (우) 03050,126.9842875,37.5895821
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,인왕산도시자연공원,1807420.0,서울특별시 종로구 옥인동 산 3-1 ,126.9578438,37.5849001
종로구,23910.0,106,11556.1,71.4,6433.0,39.7,3056.4,18.9,73947,161869,78215,83654,세종로공원,8868.0,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735
